Stock,Date,Open,High,Low,Close,Volume,PctChange
TCS,30-04-2026,2479,2491,2438,2473.9,3970000,-0.03
TCS,29-04-2026,2451,2487.9,2447.6,2474.7,2840000,1.23
TCS,28-04-2026,2444,2487,2427.4,2444.7,4510000,-0.12
TCS,27-04-2026,2396.9,2459,2396.9,2447.6,5850000,2.12
TCS,24-04-2026,2488,2505,2388.8,2396.9,5110000,-4.95
TCS,23-04-2026,2529,2559.5,2516.3,2521.8,2510000,-0.66
TCS,22-04-2026,2580,2580,2503.6,2538.5,5230000,-2.76
TCS,21-04-2026,2560,2614,2560,2610.5,2720000,1.2
TCS,20-04-2026,2587.1,2594,2561.2,2579.6,2290000,-0.07
TCS,17-04-2026,2570,2589,2555.9,2581.5,2720000,0.18
TCS,16-04-2026,2572,2594,2558,2576.9,3910000,0.86
TCS,15-04-2026,2501.9,2559,2493.4,2554.9,5260000,3.33
TCS,13-04-2026,2489.9,2504.9,2470,2472.6,3740000,-2.05
TCS,10-04-2026,2565.8,2565.8,2501.1,2524.3,10480000,-2.5
TCS,09-04-2026,2554,2605,2531.1,2589,5630000,1.16
TCS,08-04-2026,2572,2580.3,2540.1,2559.2,4770000,0.76
TCS,07-04-2026,2461,2543.9,2448,2539.8,4520000,2.66
TCS,06-04-2026,2474,2482,2448.2,2473.9,2570000,0.95
TCS,02-04-2026,2386,2469.9,2375.7,2450.7,5380000,1.76
TCS,01-04-2026,2429,2472,2397.9,2408.2,4130000,2.09
TCS,30-03-2026,2375.1,2398,2346.2,2358.9,6800000,-1.29
TCS,27-03-2026,2403.9,2422.1,2385,2389.8,4980000,0.52
TCS,25-03-2026,2400.9,2421.6,2369.8,2377.4,5840000,-0.89
TCS,24-03-2026,2404.1,2435.4,2379.1,2398.8,3420000,0.63
TCS,23-03-2026,2365,2406.8,2348,2383.8,3860000,-0.28
TCS,20-03-2026,2386,2407.8,2364.2,2390.6,4210000,1.47
TCS,19-03-2026,2417,2424,2350.2,2356,2760000,-3.47
TCS,18-03-2026,2410,2482.9,2410,2440.8,3080000,2.05
TCS,17-03-2026,2420,2420,2360,2391.7,2990000,-0.73
TCS,16-03-2026,2410,2425,2366.1,2409.2,3810000,-0.05
TCS,13-03-2026,2437,2445.9,2397,2410.5,2470000,-1.31
TCS,12-03-2026,2459.8,2472.9,2436,2442.4,2750000,-0.91
